transaction_id,signup_id,transaction_start_date,amt,store_id
1,101,2023-04-05,100,1
2,101,2023-04-10,200,1
3,102,2023-05-02,150,2
4,103,2023-03-15,50,3
5,104,2023-05-20,250,1
6,101,2023-06-01,300,1
7,105,2022-12-25,120,4
8,106,2023-04-15,180,1
9,107,2023-05-12,220,2
10,108,2023-04-20,190,3
11,109,2023-05-05,200,1
12,110,2023-04-25,170,2
13,111,2023-05-18,210,3
14,112,2023-04-30,160,1
15,113,2023-05-25,240,2
16,114,2023-04-08,130,3
17,115,2023-05-03,190,1
18,116,2023-04-22,180,2
19,117,2023-05-10,230,3
20,118,2023-04-12,140,1
21,119,2023-05-07,210,2
22,120,2023-04-28,170,3
23,121,2023-05-23,220,1
24,122,2023-04-03,120,2
25,123,2023-05-15,200,3
26,124,2023-04-17,160,1
27,125,2023-05-09,230,2
28,126,2023-04-11,150,3
29,127,2023-05-04,220,1
30,128,2023-04-24,180,2
31,129,2023-05-17,210,3
32,130,2023-04-07,130,1
33,131,2023-05-02,190,2
