transaction_id,signup_id,transaction_start_date,amt
1,101,2023-04-05,100
2,101,2023-04-10,200
3,102,2023-05-02,150
4,103,2023-03-15,50
5,104,2023-05-20,250
6,101,2023-06-01,300
7,105,2022-12-25,120
8,106,2023-04-15,180
9,107,2023-05-12,220
10,108,2023-04-20,190
11,109,2023-05-05,200
12,110,2023-04-25,170
13,111,2023-05-18,210
14,112,2023-04-30,160
15,113,2023-05-25,240
16,114,2023-04-08,130
17,115,2023-05-03,190
18,116,2023-04-22,180
19,117,2023-05-10,230
20,118,2023-04-12,140
21,119,2023-05-07,210
22,120,2023-04-28,170
23,121,2023-05-23,220
24,122,2023-04-03,120
25,123,2023-05-15,200
26,124,2023-04-17,160
27,125,2023-05-09,230
28,126,2023-04-11,150
29,127,2023-05-04,220
30,128,2023-04-24,180
31,129,2023-05-17,210
32,130,2023-04-07,130
33,131,2023-05-02,190
34,132,2023-04-21,180
35,133,2023-05-09,230
36,134,2023-04-13,140
37,135,2023-05-06,210
38,136,2023-04-27,170
39,137,2023-05-22,220
40,138,2023-04-02,120
41,139,2023-05-14,200
42,140,2023-04-16,160
43,141,2023-05-08,230
44,142,2023-04-10,150
45,143,2023-05-03,220
46,144,2023-04-23,180
